number,value,datetime_start,datetime_complete,duration,params_alpha,params_ent_coef,params_epsilon,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
39,-81.79898071289062,2023-04-18 23:08:30.039865,2023-04-18 23:11:14.467252,0 days 00:02:44.427387,0.9396031934774934,2.1355463986012924e-07,5.273977009234205e-05,0.9266086364509892,0.00016259432222330537,0.022570189794735934,580.3239141136596,0.607127740813169,COMPLETE
40,-81.41197967529297,2023-04-18 23:08:30.294821,2023-04-18 23:11:14.388844,0 days 00:02:44.094023,0.9403869900416515,3.480374510068738e-07,5.390959581274241e-05,0.9233089077260973,0.0001703448864524177,0.013894882251467006,552.2014275727188,0.5153176491138819,COMPLETE
41,-0.0,2023-04-18 23:10:40.853157,2023-04-18 23:13:35.277195,0 days 00:02:54.424038,0.9452165933215063,8.973162114810873e-08,3.973955917798614e-05,0.9264388792402901,0.0001973050914314222,0.020494429436264585,576.6089500453882,0.6561846907236085,COMPLETE
42,-0.0,2023-04-18 23:10:46.672585,2023-04-18 23:13:51.162206,0 days 00:03:04.489621,0.9356873539285032,8.847994804225819e-08,3.641941896055042e-05,0.9292758391720354,0.00018749889331077325,0.021145267446900488,602.4473902245611,0.6788006573635329,COMPLETE
43,-80.96298217773438,2023-04-18 23:11:14.394664,2023-04-18 23:13:26.377535,0 days 00:02:11.982871,0.9458652302737033,3.9939450506034995e-08,2.8264554346428094e-05,0.9297035580867409,5.606980244825948e-05,0.020171752417257473,437.6538719824394,0.5763234817177956,COMPLETE
44,-0.0,2023-04-18 23:11:14.470033,2023-04-18 23:13:27.519331,0 days 00:02:13.049298,0.9466306031530857,6.929311846115237e-08,3.0104711435286457e-05,0.9420824925081209,6.321085660381124e-05,0.020539814170941154,443.1919900880799,0.6586016761251074,COMPLETE
45,-55.512977600097656,2023-04-18 23:13:26.389221,2023-04-18 23:14:50.254997,0 days 00:01:23.865776,0.9249029684413934,1.4577046377967031e-06,0.0024676453053449686,0.9366559386931751,0.00012990886207723575,0.014165449322915642,210.3542896030243,0.5451690378676881,COMPLETE
46,-0.0,2023-04-18 23:13:27.521359,2023-04-18 23:14:53.572583,0 days 00:01:26.051224,0.9255518638893686,1.206017810560817e-06,0.001511779649547334,0.937395679235627,3.861847615320317e-05,0.012908575064254966,230.11560882128285,0.5488091994646664,COMPLETE
47,-0.0,2023-04-18 23:13:35.280453,2023-04-18 23:15:07.705257,0 days 00:01:32.424804,0.9252421718216007,1.7923675223249184e-06,0.0027253683776386865,0.9369946636312676,7.214798843985798e-05,0.012360157649269303,224.3816405237665,0.5513715638005389,COMPLETE
48,-0.0,2023-04-18 23:13:51.166445,2023-04-18 23:15:05.102383,0 days 00:01:13.935938,0.9264683665868669,1.8180547868239503e-06,1.8818793299131777e-05,0.937159765479792,3.982435754719046e-05,0.012669034622297997,202.06800928045246,0.5455499148426493,COMPLETE
49,-81.09598541259766,2023-04-18 23:14:50.263988,2023-04-18 23:20:29.066296,0 days 00:05:38.802308,0.9349033314960112,2.139840903571285e-06,2.126401515275244e-05,0.9154783632181197,6.96818114527645e-05,0.010827727606769916,1152.8519298369906,0.5149188091880623,COMPLETE
50,-0.0,2023-04-18 23:14:53.574386,2023-04-18 23:19:53.705325,0 days 00:05:00.130939,0.9362024766383187,1.5326238221504106e-05,0.0002059718826712335,0.9177847039535245,7.577574368168545e-05,0.010383433880402821,1064.125877574955,0.519473820258662,COMPLETE
51,-0.0,2023-04-18 23:15:05.106112,2023-04-18 23:19:19.140220,0 days 00:04:14.034108,0.9347215291733756,1.6703577825667897e-05,1.552049683704796e-05,0.916590275443519,2.5198509203280613e-05,0.01011373789120504,949.316323940649,0.5154266938728486,COMPLETE
52,-38.78998947143555,2023-04-18 23:15:07.709026,2023-04-18 23:19:39.369014,0 days 00:04:31.659988,0.9352961065930926,1.6250674082970075e-05,1.767906302873998e-05,0.9190621758742238,2.4269307360765214e-05,0.03573134855537862,957.2874353065353,0.5199423152218066,COMPLETE
53,-0.05299999564886093,2023-04-18 23:19:19.182131,2023-04-18 23:19:52.978606,0 days 00:00:33.796475,0.9425894869015681,2.532145996605591e-06,0.00017979461016727613,0.9106562057228833,0.00010397337085504724,0.0421655589911696,163.61228380741505,0.6256754541589405,COMPLETE
54,-0.0,2023-04-18 23:19:39.377016,2023-04-18 23:21:38.358321,0 days 00:01:58.981305,0.9105766081087607,2.7189709909220065e-06,1.4781003642699924e-05,0.9515618489173636,6.207577440419357e-05,0.03315063021082546,276.32399754293414,0.6239091587239037,COMPLETE
55,-0.0,2023-04-18 23:19:52.982821,2023-04-18 23:21:45.121112,0 days 00:01:52.138291,0.9309852424057883,7.509230397456241e-07,1.533477131255683e-05,0.9699025307697796,6.258166091088397e-05,0.031938526111369436,288.55082834554065,0.6377618699897666,COMPLETE
56,-0.0,2023-04-18 23:19:53.713272,2023-04-18 23:21:43.677488,0 days 00:01:49.964216,0.9182549377478207,6.516308223743704e-07,1.598091069838699e-05,0.9433576292065114,6.732194698365039e-05,0.03312235761767434,291.8542456214252,0.6336750897426234,COMPLETE
57,-0.0,2023-04-18 23:20:29.071826,2023-04-18 23:21:49.778546,0 days 00:01:20.706720,0.9195692130363003,7.55432140782659e-07,1.5667363574657916e-05,0.942239641853408,4.3504637637770915e-05,0.03150845639003587,310.0179698299653,0.5940431629305155,COMPLETE
58,-0.0,2023-04-18 23:21:38.361493,2023-04-18 23:23:20.372852,0 days 00:01:42.011359,0.913312499041959,0.0002952813783058808,7.703491763062219e-05,0.9015647679625004,0.0003345870996914386,0.04913289153602818,386.60175029012754,0.5717312989069071,COMPLETE
59,-56.663978576660156,2023-04-18 23:21:43.680478,2023-04-18 23:23:29.244262,0 days 00:01:45.563784,0.9218073968896935,0.00025094676651910204,1.1172089081682713e-05,0.9011166430275799,1.5750310080439613e-05,0.04709841348271869,366.18849923472925,0.5683972672328814,COMPLETE
60,-0.0,2023-04-18 23:21:45.124211,2023-04-18 23:24:03.485379,0 days 00:02:18.361168,0.9629637926813112,0.0003560326925710957,1.0634692983587047e-05,0.9764762875742258,0.00013347694231244473,0.016219054272341618,498.70998399179035,0.5837243641129745,COMPLETE
61,-25.637996673583984,2023-04-18 23:21:49.784366,2023-04-18 23:23:37.524133,0 days 00:01:47.739767,0.9154609928112287,0.0002795216382141064,1.0236216484654266e-05,0.9768565688035042,0.00011641808866242039,0.024176950460417495,383.87612732907974,0.5738923325690225,COMPLETE
62,-80.82197570800781,2023-04-18 23:23:20.375247,2023-04-18 23:26:29.149704,0 days 00:03:08.774457,0.9638523458590813,0.00010637755517804893,3.66568087133909e-05,0.978909588259822,2.0822745872120385e-05,0.024439531520816273,668.9552812560122,0.5857135988107459,COMPLETE
63,-55.08098602294922,2023-04-18 23:23:29.245580,2023-04-18 23:25:57.460873,0 days 00:02:28.215293,0.9436081430716341,2.506557450510315e-07,4.343060843112878e-05,0.9331332767288012,2.852392480763444e-05,0.01606840041972528,499.2630778912634,0.5910258340435276,COMPLETE
64,-56.465980529785156,2023-04-18 23:23:37.529183,2023-04-18 23:26:04.489503,0 days 00:02:26.960320,0.942422230421096,3.5029667561982045e-07,4.260081158520443e-05,0.9335792702927804,2.924324402028462e-05,0.016109794729984736,483.2060418515307,0.6034753282014873,COMPLETE
65,-0.07500000298023224,2023-04-18 23:24:03.487887,2023-04-18 23:27:00.100101,0 days 00:02:56.612214,0.9419597108787179,3.078118063773515e-07,3.515698126320993e-05,0.9318156447686581,4.911408574393082e-05,0.05956873290920401,695.5363896871548,0.6080208330702856,COMPLETE
66,-81.3769760131836,2023-04-18 23:25:57.463643,2023-04-18 23:29:02.822618,0 days 00:03:05.358975,0.94948750172558,2.7718819125932595e-05,6.373001626344812e-05,0.9228095294989704,2.2572268664755346e-05,0.022636650647827525,653.1743504041135,0.6153726992820019,COMPLETE
67,-80.93797302246094,2023-04-18 23:26:04.495300,2023-04-18 23:29:40.878862,0 days 00:03:36.383562,0.9040732898592764,0.00011865236219867848,6.729612651768447e-05,0.923535625275805,4.722043829775976e-05,0.028812573060414494,684.4238996275654,0.6128915277450712,COMPLETE
68,-80.82698059082031,2023-04-18 23:26:29.179230,2023-04-18 23:30:02.890826,0 days 00:03:33.711596,0.9294169823958668,2.5529629788875275e-05,6.727543404940743e-05,0.9555371384958004,4.892848843279271e-05,0.02917477893961118,693.8507930355919,0.6103320424861992,COMPLETE
69,-80.96397399902344,2023-04-18 23:27:00.104790,2023-04-18 23:30:03.991909,0 days 00:03:03.887119,0.9298024960281565,8.420338926147992e-06,6.78663806407835e-05,0.9235830575259198,4.1193236408308e-05,0.038463522196316616,661.891757690599,0.50524422852272,COMPLETE
